SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
BDL,Bharat Dynamics Limited,-,EQ,10, Interim Dividend - Rs 6.25 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
PIIND,PI Industries Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
SWSOLAR,Sterling And Wilson Solar Limited,-,EQ,1, Interim Dividend - Rs 6 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
INFOBEAN,InfoBeans Technologies Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
TDPOWERSYS,TD Power Systems Limited,-,EQ,10, Interim Dividend - Rs 1.50 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
SHREECEM,SHREE CEMENT LIMITED,-,EQ,10, Interim Dividend - Rs 110 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
MAYURUNIQ,Mayur Uniquoters Ltd,-,EQ,5, Interim Dividend - Rs 1.50 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
AARTIIND,Aarti Industries Limited,-,EQ,5, Interim Dividend - Rs 2.5 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
TIDEWATER,Tide Water Oil Company (India) Limited,-,EQ,5, Interim Dividend - Rs 60 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
SUNTV,Sun TV Network Limited,-,EQ,5, Interim Dividend-Rs 7.5 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
APCOTEXIND,Apcotex Industries Limited,-,EQ,2, Interim Dividend - Rs 3 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
AVTNPL,AVT Natural Products Limited,-,EQ,1, Interim Dividend - Rs 0.25 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
VIPIND,VIP Industries Limited,-,EQ,2, Interim Dividend - Rs 3.2 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
GOLDIAM,Goldiam International Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
NATCOPHARM,Natco Pharma Limited,-,EQ,2, Interim Dividend - Rs 3.5 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
BALKRISIND,Balkrishna Industries Limited,-,EQ,2, Interim Dividend - Rs 16 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
BALAJITELE,Balaji Telefilms Limited,-,EQ,2, Interim Dividend - Rs 0.40 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
IRCTC,Indian Railway Catering And Tourism Corporation Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
VARROC,Varroc Engineering Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
SJVN,SJVN Limited,-,EQ,10, Interim Dividend - Rs 1.70 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
WHEELS,Wheels India Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
HIL,HIL Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
APOLLOHOSP,Apollo Hospitals Enterprise Limited,-,EQ,5, Interim Dividend - Rs 3.25 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
PHILIPCARB,Phillips Carbon Black Limited,-,EQ,2, Interim Dividend - Rs 3.5 Per Share Special Dividend - Rs 3.5 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
DIVISLAB,Divi's Laboratories Limited,-,EQ,2, Interim Dividend - Rs 16 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
DHANUKA,Dhanuka Agritech Limited,-,EQ,2, Interim Dividend - Rs 12 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
CAREERP,Career Point Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-25,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-02 14:30:29
